Refdist,Depth,PTMP,PSAL,Sigma0,Vrel,Vladcp,Vabs
1172.89943777813,55,1.49053051530309,0.102746507475909,0.228844860457385,0.0279639879215807,0.0751376203173443,0.0837515259568831
1172.89943777813,65,1.21808801199124,0.0854959482708273,0.200379875777074,0.0230497786951457,0.110797142031098,0.0789348066436799
1172.89943777813,75,1.08366794363391,0.0777975890719129,0.182870572977942,0.0180512051047921,0.127272787694882,0.0718061688912498
1172.89943777813,85,1.03967887536478,0.0742966966307111,0.172932256256557,0.0126990586642453,0.0185998318558229,0.0635272378004462
1172.89943777813,95,0.970623653758735,0.0753691072411233,0.160470958857074,0.00759464497346597,0.0175661183967058,0.0557981693377214
1172.89943777813,105,0.957469670082167,0.0757554265362492,0.156297513863476,0.0036307592769506,0.0164171081816009,0.0489969286071097
1167.89943777813,15,2.02104449810836,0.242478366912144,0.428214599731348,0.0342621330308659,0.0433692111498683,0.0480780612176362
1167.89943777813,25,1.96181690484223,0.173568275214879,0.367024761361087,0.031828012946121,0.0574580893833683,0.0935487606425305
1167.89943777813,35,1.89374307653512,0.133707236912971,0.323780342566792,0.0298153452928668,0.0644246583389035,0.093295606753524
1167.89943777813,45,1.64330689310787,0.106606709367671,0.265507134794852,0.0262282696000162,0.0678077630893455,0.0911685484599842
1167.89943777813,55,1.31691451464028,0.100297676569232,0.203733589999885,0.0218910787711907,0.0841759013456068,0.0876464049731484
1167.89943777813,65,1.0540195552172,0.0923153442992383,0.168908919309864,0.0179002342671478,0.108107485120124,0.0839529548834601
1167.89943777813,75,0.882569762120776,0.0906024490762488,0.142036419741611,0.0138707748568801,0.118823092594727,0.0799001257027846
1167.89943777813,85,0.818493732142263,0.0849666154684655,0.131373060549359,0.00930073077309588,0.0532037915421045,0.0759913401675174
1167.89943777813,95,0.768591108872866,0.0830925728235475,0.119780356482938,0.00503574443122952,0.050246911296119,0.0728880613828297
1167.89943777813,105,0.755060362694634,0.0804715960029968,0.11652459401857,0.00212563194254695,0.0469602310487891,0.070267520913309
1162.89943777813,15,2.00458403351202,0.237399238830954,0.419348458370989,0.0249769741556858,0.0733840713271841,0.0784695909973838
1162.89943777813,25,1.95491660752017,0.168179083240769,0.366179605457173,0.0234254497997998,0.0844004048953228,0.106173404250947
1162.89943777813,35,1.87904285992952,0.126003572734557,0.324605577251438,0.0235010579981223,0.0904100671400513,0.105694688613561
1162.89943777813,45,1.57147166181206,0.0979285188630147,0.256917759907882,0.0216003033254976,0.0903751345448202,0.102770294782485
1162.89943777813,55,1.19590905533192,0.0950764568125029,0.189394400093814,0.0180870591917994,0.0981942706633281,0.0986763919834196
1162.89943777813,65,0.945682683157721,0.0937432425399153,0.149792000878505,0.0144352971839635,0.114563154398095,0.096063918839828
1162.89943777813,75,0.744160111561666,0.0958792427338371,0.114870592205035,0.0108732612866844,0.12186142910939,0.0944550202123712
1162.89943777813,85,0.660844094881587,0.089012817856865,0.102451727526189,0.00688636987348052,0.0903421132784508,0.093768206177421
1162.89943777813,95,0.620151381238228,0.0852224090043509,0.0911042508497982,0.00334323826869375,0.0871048486156857,0.0938638506021775
1162.89943777813,105,0.61018224147209,0.0808702386213701,0.0889258277850779,0.00118343126942465,0.0827842267543807,0.0940867302115937
