CruiseID,Staname,Refdist,LonGV,LatGV,ZLoNM
d22396,E+,890.849674734066,-12.741441488266,57.5356689095497,680
d22396,D+,879.863313261289,-12.9386414885521,57.5452189445496,224.999999999999
d22396,C+,865.903377149661,-13.1732999831438,57.558749973774,135
d22396,B+,846.952231455968,-13.4866999834776,57.5680999755859,NaN
d22396,A+,828.757970343109,NaN,NaN,NaN
d22396,IB1+,806.770168481099,NaN,NaN,NaN
d22396,IB1A+,781.137312284704,NaN,NaN,NaN
d22396,IB2+,755.276537301711,NaN,NaN,NaN
d22396,IB2A+,727.531676215033,NaN,NaN,NaN
d22396,IB3+,701.779011653906,NaN,NaN,NaN
d22396,IB3A+,677.70990248514,NaN,NaN,NaN
d22396,IB4+,656.552122245144,NaN,NaN,NaN
d22396,IB4A+,639.451050292806,NaN,NaN,NaN
d22396,IB4B+,621.500630600615,NaN,NaN,NaN
d22396,IB4C+,602.515916919915,NaN,NaN,NaN
d22396,IB5+,586.044619970636,NaN,NaN,NaN
d22396,IB6+,562.949888472012,NaN,NaN,NaN
d22396,IB7+,538.601559837495,NaN,NaN,NaN
d22396,IB8+,518.528667699264,NaN,NaN,NaN
d22396,IB9+,499.742154822881,NaN,NaN,NaN
d22396,IB10+,468.663262611363,NaN,NaN,NaN
d22396,IB11+,430.673460109097,NaN,NaN,NaN
d22396,IB11A+,399.848329731582,NaN,NaN,NaN
d22396,IB12+,368.446595350603,NaN,NaN,NaN
d22396,IB12A+,340.666595350603,NaN,NaN,NaN
d22396,IB13+,312.886595350603,NaN,NaN,NaN
d22396,IB13A+,285.106595350603,NaN,NaN,NaN
d22396,IB14+,257.326595350603,NaN,NaN,NaN
d22396,IB15+,229.546595350603,NaN,NaN,NaN
d22396,IB16+,201.766595350603,NaN,NaN,NaN
d22396,IB16A+,173.986595350603,NaN,NaN,NaN
d22396,IB17+,141.10058472554,NaN,NaN,NaN
d22396,IB18S+,103.065136990246,NaN,NaN,NaN
d22396,IB19S+,69.8212652683242,NaN,NaN,NaN
d22396,IB20S+,40.4959705830945,NaN,NaN,NaN
