CruiseID,Staname,Refdist,Lon,Lat,ZLoNM
d23398,5G,1277.48938666502,NaN,NaN,NaN
d23398,6G,1268.34629966858,NaN,NaN,NaN
d23398,7G,1253.10782134119,NaN,NaN,NaN
d23398,8G,1242.92851781848,NaN,NaN,NaN
d23398,9G,1232.81016820909,NaN,NaN,NaN
d23398,10G,1222.63086468639,NaN,NaN,NaN
d23398,11G,1212.45156116369,NaN,NaN,NaN
d23398,12G,1201.96203319506,NaN,NaN,NaN
d23398,13G,1191.42026780043,NaN,NaN,NaN
d23398,14G,1180.88503680959,NaN,NaN,NaN
d23398,T,1170.28889756204,NaN,NaN,NaN
d23398,15G,1158.92904037627,NaN,NaN,NaN
d23398,S,1140.21838880631,NaN,NaN,NaN
d23398,R,1125.95044975225,-8.99679997563362,56.997899889946,115
d23398,Q,1111.6987638504,-9.21579998731613,57.052099943161,305
d23398,Q1,1105.04885023617,NaN,NaN,305
d23398,P,1098.40263404158,-9.42329999804497,57.1053999662399,1195
d23398,O,1080.45151912432,-9.69829997420311,57.1516999006271,1265
d23398,N,1057.44863106107,NaN,NaN,1265
d23398,M,1036.09970966971,-10.3852999806404,57.2996999025345,NaN
d23398,L,1017.51030621173,NaN,NaN,NaN
d23398,K,1004.98258370098,NaN,NaN,NaN
d23398,J,990.916114736166,-11.0869999825954,57.4543999433517,585
d23398,I,976.802337560184,NaN,NaN,585
d23398,H,963.775388196627,-11.540099978447,57.4751999378204,1225
d23398,G,944.816112154296,NaN,NaN,1185
d23398,F,920.868130769674,-12.2461999952793,57.5210999250412,1185
d23398,E,897.845843047029,-12.6298999786377,57.5319999456406,1095
d23398,D,883.853506421104,-12.8660999834538,57.5391999483109,NaN
d23398,C,875.873120101474,NaN,NaN,NaN
d23398,B,855.933634197848,NaN,NaN,NaN
d23398,A,837.970828714088,-13.6335999965668,57.5797998905182,NaN
d23398,IB1,819.545111972131,NaN,NaN,NaN
d23398,IB1A,793.995224990068,NaN,NaN,NaN
d23398,IB2,768.27939957934,NaN,NaN,NaN
d23398,IB2A,742.273675024082,NaN,NaN,NaN
d23398,IB3,712.789677405983,NaN,NaN,NaN
d23398,IB3A,690.768345901829,NaN,NaN,NaN
d23398,IB4,664.651459068452,-16.0851999521255,58.5006999969482,NaN
d23398,IB4A,648.452785421836,NaN,NaN,NaN
d23398,IB4B,630.449315163777,NaN,NaN,NaN
d23398,IB4C,612.551946037453,NaN,NaN,NaN
d23398,IB5,592.479887802376,NaN,NaN,NaN
d23398,IB6,579.609352138896,-17.1938999891281,58.9684998989105,835
d23398,IB7,546.290424805128,-17.6400999426842,59.1299999952316,965
d23398,IB8,530.912694869861,NaN,NaN,965
d23398,IB9,506.144640528667,-18.1916999816895,59.3461999893188,1845
d23398,IB10,493.339669117095,-18.3843999505043,59.4335999488831,NaN
d23398,IB11,443.986856105631,NaN,NaN,NaN
d23398,IB11A,417.360064112562,NaN,NaN,NaN
d23398,IB12,382.336595350603,-20.0038999915123,59.9959999322891,825
d23398,IB12A,354.556595350603,NaN,NaN,825
d23398,IB13,326.776595350603,-19.986799955368,60.4962999820709,795
d23398,IB13A,298.996595350603,NaN,NaN,765
d23398,IB14,271.216595350603,-20.002699971199,60.9957998991013,765
d23398,IB15,243.436595350603,NaN,NaN,755
d23398,IB16,215.656595350603,-20.0020999908447,61.4962999820709,755
d23398,IB16A,187.876595350603,NaN,NaN,755
d23398,IB17,160.096595350603,-19.9923999905586,62.0032999515533,NaN
d23398,IB18S,122.104574100478,NaN,NaN,NaN
d23398,IB19S,84.0256998800135,NaN,NaN,NaN
d23398,IB20S,55.6168306566349,NaN,NaN,NaN
d23398,IB21S,25.3751105095541,NaN,NaN,NaN
d23398,IB22S,13.4420441911282,NaN,NaN,NaN
d23398,IB23S,0,NaN,NaN,NaN
